ag0000016331.fit 2023-01-06 01:38:32.499 PLATE_B 679.300  790.600  898.200  442.300  388.900  492.600  452.000  704.200  739.700  276.600  513.300  300.300  873.800  673.200  538.500  493.500 
ag0000016586.fit 2023-01-07 20:36:56.987 PLATE_A 682.400  760.800  684.000  346.900  760.600  491.900  277.300  671.800  515.200  558.200  278.200  435.500  548.000  305.000  457.300  816.300 
ag0000016670.fit 2023-01-07 23:55:11.635 PLATE_B 681.400  789.700  900.400  441.400  388.900  492.600  452.000  704.200  741.900  275.600  516.000  299.400  876.200  672.400  538.500  493.500 
ag0000016789.fit 2023-01-09 20:47:14.681 PLATE_A 682.100  762.200  683.600  348.400  760.600  491.900  277.000  673.300  514.900  559.600  278.200  435.500  548.000  305.000  457.000  817.700 
ag0000016799.fit 2023-01-09 20:58:26.414 PLATE_A 678.800  754.300  680.300  340.300  760.600  491.900  273.600  665.400  511.500  551.700  278.200  435.500  548.000  305.000  453.600  809.800 
ag0000017087.fit 2023-01-15 20:25:10.683 PLATE_B 680.500  790.200  899.400  441.900  388.300  491.700  452.000  704.200  740.800  276.100  516.000  299.400  874.900  672.700  650.900  528.200 
ag0000017181.fit 2023-01-16 23:15:38.953 PLATE_A 678.800  754.300  680.300  340.300  760.600  491.900  273.600  665.400  515.000  558.700  278.200  435.500  548.000  305.000  453.600  809.800 
ag0000017186.fit 2023-01-16 23:24:48.952 PLATE_A 683.800  758.300  684.300  343.300  780.600  553.900  277.600  670.400  517.400  557.200  281.200  437.500  467.000  308.000  457.600  816.800 
ag0000017189.fit 2023-01-16 23:27:17.794 PLATE_A 682.000  759.200  683.700  345.400  780.600  553.900  277.000  670.800  514.500  557.400  281.400  440.300  467.000  308.000  456.400  815.200 
ag0000017285.fit 2023-01-17 23:52:37.968 PLATE_A 679.700  756.100  681.200  342.400  780.600  553.900  274.800  667.600  512.600  553.700  279.100  436.500  456.600  293.900  454.600  811.700 
ag0000017852.fit 2023-01-24 20:51:25.019 PLATE_A 680.400  757.700  682.000  343.600  780.600  553.900  275.200  668.800  513.100  555.100  279.100  436.500  456.600  293.900  455.200  813.200 
ag0000018011.fit 2023-01-25 21:13:54.527 PLATE_B 679.400  789.900  898.300  441.500  387.200  491.300  452.000  704.200  739.800  275.800  516.000  299.400  873.900  672.500  649.700  528.000 
ag0000018487.fit 2023-02-02 01:16:33.300 PLATE_A 684.200  762.900  685.800  349.100  780.600  553.900  279.400  674.100  517.200  560.400  283.700  443.200  456.600  293.900  459.200  818.300 
ag0000018579.fit 2023-02-03 00:35:40.279 PLATE_B 680.300  789.800  899.200  441.500  387.200  491.300  452.000  704.200  740.700  275.700  514.200  299.500  874.800  672.400  650.600  527.900 
ag0000018653.fit 2023-02-03 20:07:45.849 PLATE_B 681.600  790.200  900.400  441.900  387.200  491.300  452.000  704.200  741.900  276.200  515.500  300.000  876.100  672.900  651.900  528.300 
ag0000018870.fit 2023-02-09 20:26:09.016 PLATE_A 682.200  760.000  683.800  345.900  780.600  553.900  277.000  671.100  515.000  557.400  281.500  440.100  456.600  293.900  457.000  815.400 
ag0000018873.fit 2023-02-10 14:01:41.446 PLATE_A 682.200  761.100  683.800  347.100  780.600  553.900  277.100  672.200  515.000  558.500  281.500  441.300  456.600  293.900  457.100  816.600 
ag0000018875.fit 2023-02-10 14:05:12.847 PLATE_A 682.200  761.100  683.800  347.100  780.600  553.900  277.100  672.200  536.300  491.900  281.500  441.300  456.600  293.900  457.100  816.600 
ag0000018877.fit 2023-02-10 14:07:43.720 PLATE_A 682.200  761.100  683.800  347.100  780.600  553.900  277.100  672.200  513.300  559.900  281.500  441.300  456.600  293.900  457.100  816.600 
